,ACC_pre_R,Occipital_Inf_R,Frontal_Med_Orb_L,Parietal_Sup_L,Postcentral_R,Postcentral_L,Red_N_R,SN_pr_R,Thal_PuL_R,Lingual_R,Thal_MDm_L,OFClat_R,OFCpost_L,VTA_L,Cingulate_Mid_L,SN_pc_L,Thal_VA_L,Thal_PuI_R,Cerebellum_9_R,Thal_AV_L,Frontal_Inf_Tri_L,Precentral_L,Calcarine_R,Cerebellum_6_L,SupraMarginal_L
Thal_MDm_L,0.5765440302422232,0.01616623660058488,0.403421951870969,0.5191718498423633,-0.053570316125570665,0.4877095391686011,0.30185842447394196,0.39640771692771254,0.20904845438325684,-0.22397518881530318,1.0,-0.38606383314145987,0.5969356979023858,-0.33889783606060486,0.6186858001261641,0.42962468568799134,0.33832054352463664,0.746768390129383,0.38611982618952323,0.42503594073860423,0.5009815687307069,0.38706373741239314,-0.016117984270020817,-0.382990773038054,0.5032975408652958
OFClat_R,-0.8605556774243274,0.2877747719288954,-0.7169078086835865,-0.7770660702623455,0.6182956729947597,-0.7435186389654281,-0.2861360689062529,-0.5756862184800362,0.15808043085492213,0.6399141036966525,-0.38606383314145987,1.0,-0.7993380137336129,0.787990285474457,-0.5842189552810624,-0.4216694469039245,-0.47248826576088204,-0.3727900076395393,0.02751857935008511,-0.5705137218568378,-0.6444486905158058,-0.5109152572077981,0.45939308961056385,0.8037615392738524,-0.7866822417895538
OFCpost_L,0.9284343171860503,-0.3702423023720152,0.7483668408310787,0.8943927444002553,-0.4781120135856944,0.7780837175463252,0.4064565591996067,0.6182445250483305,-0.09367933897749187,-0.7071772351504092,0.5969356979023858,-0.7993380137336129,1.0,-0.7645745769890562,0.8281238982563176,0.4256343574397864,0.6891068286927128,0.553471338814127,0.1356287286290192,0.7144791128297604,0.7381171057896491,0.5411276369568627,-0.4563219473092966,-0.8875272470613694,0.8188454729339326
VTA_L,-0.8553813624508069,0.18191138935430123,-0.793530377663742,-0.6370841306691712,0.7266603290492182,-0.5614226679466501,-0.2676885714825689,-0.5407960199375588,0.2950556652752645,0.5865144356839379,-0.33889783606060486,0.787990285474457,-0.7645745769890562,1.0,-0.4672185071631416,-0.3171309345889428,-0.46611696796171204,-0.36810881926215655,0.07925014780858301,-0.7489523987509337,-0.6240762884316113,-0.2969995191181773,0.4861071165761032,0.7156501441467252,-0.6479477149718572
Cingulate_Mid_L,0.7038148454024352,-0.388749030430764,0.512919581712504,0.8140277452157858,-0.12604744738445434,0.8055543568362709,0.4990713454269019,0.6133765308802107,0.055209566788433556,-0.4576038963337897,0.6186858001261641,-0.5842189552810624,0.8281238982563176,-0.4672185071631416,1.0,0.5098818529741083,0.8201254242044815,0.6684291031593508,0.35410111269366723,0.5409166213316249,0.7115026888536059,0.7199767222198519,-0.15118989770244978,-0.6896034161556803,0.782896940702269
SN_pc_L,0.4164255558539466,-0.08190282111762226,0.283069669905758,0.5249854523235715,0.004093572980389718,0.6538902657885826,0.4309487151783205,0.46824145874390916,0.17234551772564277,-0.2794568768916923,0.42962468568799134,-0.4216694469039245,0.4256343574397864,-0.3171309345889428,0.5098818529741083,1.0,0.38772280311231966,0.42860609214558787,0.16893768821048305,0.12133185510374686,0.5299507483545896,0.6586919817419249,-0.04865980639660576,-0.3688399012470561,0.6041429139120781
Thal_VA_L,0.6015479009076827,-0.4814126046005111,0.49732701021514236,0.6166198885528412,-0.21548094890325453,0.6076993892618716,0.5575109436304271,0.6598754544277667,-0.05266845671007016,-0.4355239313404781,0.33832054352463664,-0.47248826576088204,0.6891068286927128,-0.46611696796171204,0.8201254242044815,0.38772280311231966,1.0,0.6173472467831389,0.4313900554206506,0.5301400746105479,0.6992115434454061,0.5337414242378918,-0.2420238108254282,-0.5921817688542669,0.6009144167452786
Thal_PuI_R,0.520733090087773,-0.26985439532535377,0.413768420815285,0.43961499547815563,-0.07692153428435093,0.4827180866334393,0.457026041958986,0.6868980203862877,0.17633261674786865,-0.2871090002124764,0.746768390129383,-0.3727900076395393,0.553471338814127,-0.36810881926215655,0.6684291031593508,0.42860609214558787,0.6173472467831389,1.0,0.5615332083560572,0.3567387448944755,0.6522866190531411,0.40963849072855346,-0.1751089747808801,-0.3953033964586355,0.46293263593117334
Cerebellum_9_R,0.0667590093505221,-0.13694144711233017,0.00883640085396619,-0.007285764674335943,0.12211243514092365,0.12218330358232526,0.49630853723660084,0.43244480368026733,0.05761089770220175,0.17605621677665065,0.38611982618952323,0.02751857935008511,0.1356287286290192,0.07925014780858301,0.35410111269366723,0.16893768821048305,0.4313900554206506,0.5615332083560572,1.0,0.059240614984084936,0.2999998364496451,0.1607926725000195,0.19095187449219045,0.0761059619674275,0.062243516135507305
Thal_AV_L,0.7654383547624217,-0.13697418101126932,0.7507097154840491,0.4745804105304935,-0.5747335536689199,0.33909940597533467,0.3978273618767654,0.4635147815459071,-0.48218088159739736,-0.36711767600136347,0.42503594073860423,-0.5705137218568378,0.7144791128297604,-0.7489523987509337,0.5409166213316249,0.12133185510374686,0.5301400746105479,0.3567387448944755,0.059240614984084936,1.0,0.4888928243883391,0.07487174055790162,-0.28421646666064837,-0.5353517227704531,0.4410992627393219
Frontal_Inf_Tri_L,0.7652817312486412,-0.42427529220329585,0.5844660223619892,0.6573494052653457,-0.48136754369012047,0.7329171827803407,0.5167824282696744,0.6840634508646177,-0.17475281341207397,-0.5013824575151163,0.5009815687307069,-0.6444486905158058,0.7381171057896491,-0.6240762884316113,0.7115026888536059,0.5299507483545896,0.6992115434454061,0.6522866190531411,0.2999998364496451,0.4888928243883391,1.0,0.6173968583429733,-0.3562343868823762,-0.6204980364343613,0.7345366094767283
Precentral_L,0.48071494718603336,-0.20072443898204834,0.2395348347579284,0.7683476276962101,-0.14012277627361477,0.9256317684499531,0.20270332628331506,0.36484671651524236,0.26590780924401036,-0.3617055438824825,0.38706373741239314,-0.5109152572077981,0.5411276369568627,-0.2969995191181773,0.7199767222198519,0.6586919817419249,0.5337414242378918,0.40963849072855346,0.1607926725000195,0.07487174055790162,0.6173968583429733,1.0,-0.06440155572651617,-0.5196107721322187,0.8739294481261004
Calcarine_R,-0.3971588984899999,0.5262516692429925,-0.35317665697481687,-0.3600111314080404,0.4332828405285959,-0.2314915155403826,-0.026447033194624346,-0.281709023932698,0.07664717915017202,0.8641772013792646,-0.016117984270020817,0.45939308961056385,-0.4563219473092966,0.4861071165761032,-0.15118989770244978,-0.04865980639660576,-0.2420238108254282,-0.1751089747808801,0.19095187449219045,-0.28421646666064837,-0.3562343868823762,-0.06440155572651617,1.0,0.6961041393701893,-0.2792634375757513
Cerebellum_6_L,-0.7947429992706426,0.4718289955985796,-0.6387988587529634,-0.8762025257728585,0.42975535036894763,-0.7259679830120171,-0.21947463500210426,-0.5117551750165052,-0.024601080052489642,0.915329848022581,-0.382990773038054,0.8037615392738524,-0.8875272470613694,0.7156501441467252,-0.6896034161556803,-0.3688399012470561,-0.5921817688542669,-0.3953033964586355,0.0761059619674275,-0.5353517227704531,-0.6204980364343613,-0.5196107721322187,0.6961041393701893,1.0,-0.7593379660578117
SupraMarginal_L,0.8107703831816099,-0.23635434245632447,0.5883590085197767,0.9372882080856062,-0.4473397073170549,0.9808290970377479,0.22507617460202872,0.5056931189028505,0.07598752295790595,-0.5798737140830654,0.5032975408652958,-0.7866822417895538,0.8188454729339326,-0.6479477149718572,0.782896940702269,0.6041429139120781,0.6009144167452786,0.46293263593117334,0.062243516135507305,0.4410992627393219,0.7345366094767283,0.8739294481261004,-0.2792634375757513,-0.7593379660578117,1.0
