,Vermis_4_5,Cuneus_R,Temporal_Pole_Mid_R,Vermis_8,Rectus_L,SN_pr_L,Cingulate_Post_L,Frontal_Inf_Oper_L,Postcentral_R,OFCpost_R,Vermis_3,Raphe_M,Amygdala_R,ACC_sup_R,VTA_L,Frontal_Inf_Orb_2_L,OFCmed_L,Thal_PuA_R,Thal_MDl_L,Temporal_Pole_Mid_L,Red_N_L,Thal_VPL_R,Thal_PuI_R,Cerebellum_8_R,Thal_PuM_R,Vermis_7,SN_pc_R,Thal_LP_R,Lingual_L,Cerebellum_6_L,Parietal_Inf_L,Precuneus_R,Frontal_Inf_Orb_2_R,Occipital_Mid_L,Thal_IL_R,OFClat_R,Frontal_Inf_Tri_L,Temporal_Sup_R,Olfactory_L,Cingulate_Post_R,Occipital_Sup_R,Postcentral_L,ParaHippocampal_R,Cerebellum_Crus2_R,Parietal_Inf_R,Thal_LP_L,Cerebellum_7b_L,OFCpost_L,Cerebellum_Crus1_L,SupraMarginal_L
Vermis_3,0.5760220170009184,-0.24433468037138947,0.29281576377269153,0.19817367873151337,0.4121778638319297,0.5953107872330432,0.694201739658955,0.33353569752001716,0.033679509986362585,0.04005288375440012,1.0,-0.058188922259905886,0.11688177861102686,0.6042759652092302,0.5021020185831694,0.4744061148144202,0.2735180239246848,-0.04848844732963026,-0.11508061069257293,0.3652744791955437,0.49107174377304375,0.2636674502562877,-0.07181336249729457,-0.23379935040349512,0.07849625404171774,0.1412049742367734,0.5824440251114803,-0.2234868965800412,0.7520003281086506,0.6103845643164365,-0.18005633448056452,0.5642844033920741,0.3871454913687763,-0.2433540805772875,0.4500604341468998,0.5589880883047572,0.17087697169205282,0.3084794054407892,0.27208678857301916,0.5719882662918839,-0.22127729218875955,0.14677971194990494,0.697100259207635,0.1840913898941922,-0.06760874679649326,-0.20040646325718403,-0.22843027744078861,0.5480094824173243,0.5458026037837244,-0.12404177874389809
Raphe_M,-0.2606490800207131,0.04163914154875589,0.2353411493142885,-0.01579212865700475,0.18867273928078968,-0.42430154537626125,-0.14641297726249192,-0.005791437503605739,0.18524253087859321,0.22623721981432462,-0.058188922259905886,1.0,0.3028677421904255,0.0034841662192896376,-0.3654703996693075,-0.005333597172460801,0.09243856522749061,0.0867564394926292,0.002592253563263173,0.191832370776769,0.004089724841681327,0.215162565827077,0.25338658016302024,0.28259273519442124,0.1603578420387118,-0.46960279577208397,-0.2394984903002968,0.13316838359361735,-0.20481399172676443,0.03161249156536212,0.10866804217366083,-0.2804463400446283,0.09904580013759305,0.07920711938559262,-0.20231078852514636,0.07400286470373284,0.13792146633409458,-0.237537267799601,0.21878613501733213,-0.31775738278057575,0.02355260751821997,0.11948067477050538,0.06297887336785307,0.04349603361491682,0.1697037125147961,0.13667485563860196,0.09188882997640092,0.11899123821796902,-0.007085569427048597,0.1641455151114296
Amygdala_R,-0.4437873093475765,0.11012497233907151,0.3002433220814215,-0.3204529302177425,0.6309237309409712,-0.16647970330609016,-0.0677037924073536,-0.324234010495378,0.33651840837859054,0.45798467637353785,0.11688177861102686,0.3028677421904255,1.0,-0.03410688002980064,-0.3096889668600606,0.5138328667798415,0.5533318185781027,0.24151383740729482,0.045605077343367016,0.29332712468145794,0.38638366464565777,0.531401184568213,0.011993151898601957,0.005189910903309461,0.1564608910647023,-0.3635685774266818,-0.3451712948902856,0.30628367177893795,-0.10419836120195389,-0.09260776111002107,0.050439256219885695,-0.09093172851511955,0.17895272543727,0.13995741547013268,-0.3448564389644282,-0.015067631457666405,-0.19822576028488972,0.11131150478918572,0.4890040040909234,-0.48645953073779546,0.14563895511331396,-0.17703127528448792,0.62852996203077,-0.2617297090278084,0.06456196711648816,-0.10395578538481827,-0.08896174444680972,0.30563869135668864,-0.020611480671945005,0.16476673146149295
ACC_sup_R,0.6168032407603423,-0.4541866018075412,0.5076710562165322,0.1141026814823573,0.30087157422549227,0.40952362127709646,0.4680288117282935,0.6086025891123149,-0.1488118960391491,-0.0045931150926361766,0.6042759652092302,0.0034841662192896376,-0.03410688002980064,1.0,0.4890706608946008,0.24930740109834315,0.03261302052404249,0.14369256673148467,0.09267372088784677,0.3833082039206121,0.10783568187883204,0.1322171688115825,0.28581198963993537,0.015694351115591396,0.2876622252173908,0.08833915448588295,0.4738939576792859,-0.06406151481584887,0.5010020488169398,0.5826701745263624,-0.10931825430081384,0.22799215992826727,0.5885732621276497,-0.46067228196654936,0.6411112478794383,0.6958571787553526,0.5692897853620933,-0.06521444459203796,0.38474092637054663,0.6394083967478885,-0.4594970567501351,0.39821366303720634,0.29962108019730893,0.26992338343728844,-0.14317161206127377,0.07307008656898138,-0.18726583937679844,0.4873297412025089,0.24383466108341695,-0.08748797440068934
VTA_L,0.605517638579854,-0.24617660754249207,0.22444634051528384,0.3528275912251979,0.09313646573257509,0.7626529079705001,0.41971679018732816,0.4221377776503168,-0.17318523877738293,-0.10809089228723383,0.5021020185831694,-0.3654703996693075,-0.3096889668600606,0.4890706608946008,1.0,0.1651475328784882,0.07286917036272726,-0.12478760328019385,-0.09963910842491218,0.1393214712164532,0.0931922971644395,-0.10942253373452535,0.05650090935315477,-0.12868469482916525,-0.009594928084621661,0.36456530914519564,0.7022291076879711,-0.23395193201312106,0.46540656320913193,0.4308114534200527,-0.1078490606387935,0.3527599616218867,0.32378493134068737,-0.2833085632403956,0.6350661619458162,0.4101563293949062,0.2741434665467986,0.17554136468493847,0.22339679248502936,0.6928268024981175,-0.2530060271461169,0.14929496353202548,0.14556039293318976,0.24393328803316328,-0.2482076484407527,0.19575736431298482,-0.09875175077968555,0.2279390149003137,0.396248789340462,-0.06425847309314411
Frontal_Inf_Orb_2_L,0.08623564391913391,0.06796749941327382,0.3498915497658015,0.04953628138814479,0.7939161131860866,0.3021057162164256,0.24255768463575522,-0.26776065194204884,0.18747474031357467,0.5260343110638293,0.4744061148144202,-0.005333597172460801,0.5138328667798415,0.24930740109834315,0.1651475328784882,1.0,0.7247270064302224,0.07964110670860491,0.014641905465413415,0.25282113221283053,0.4955986723994613,0.3391107042614477,-0.09441557082931755,-0.2579683478527769,0.09179172164693367,-0.009634444469229288,0.19783218117144,0.06568599555403763,0.24824615717408172,0.1649564354420812,-0.12873826496581614,0.3448642459625565,0.47337523256880343,0.05364726774701892,0.022331179340845195,0.22000221354007174,-0.28508363506136897,0.39001100742367445,0.6865516985494915,0.06295668329194078,0.10530842342881483,-0.22398082173869122,0.6365338999954155,-0.1407497014304725,-0.03841232395804419,-0.15153325535056075,-0.11402010133596414,0.586867208387054,0.22684141304579328,-0.17597142450776515
OFCmed_L,-0.18845861732109304,0.14867344595213453,0.30110094425405715,-0.23987151286002165,0.8110974799035985,0.1352136762580283,0.09759462120484685,-0.3621940396706338,0.2599677265754694,0.5192568089297165,0.2735180239246848,0.09243856522749061,0.5533318185781027,0.03261302052404249,0.07286917036272726,0.7247270064302224,1.0,0.08700466675642285,0.039148033778367,0.11340158851834925,0.523015669892154,0.38903104111418196,-0.07662435355530506,-0.33658067887413606,0.1473027059008637,-0.22088805150270524,0.05966624395566707,0.1298498762585221,0.07491442894196777,-0.0456295532273408,-0.15505186041367477,0.18815483650062223,0.39865087857200915,0.15880539099964444,-0.2219545463472254,0.125376556333872,-0.3407552025494746,0.20195743135046168,0.6883928755707865,-0.17518885248009414,0.1783930194588766,-0.13050737721204267,0.5449457652476235,-0.4665327046752154,0.017611765691374917,-0.12739549093342165,-0.22392118436310107,0.32656958294484606,0.0374407311497377,-0.2353506849022265
Thal_PuA_R,-0.07543174877642857,-0.1799878768682852,0.28422545252469894,-0.0009827289206312323,0.10769158819778611,-0.12964131026742526,-0.25803042561549067,-0.002796704092019358,0.06581419131797478,0.20808953150089204,-0.04848844732963026,0.0867564394926292,0.24151383740729482,0.14369256673148467,-0.12478760328019385,0.07964110670860491,0.08700466675642285,1.0,0.3477779664753822,0.11473809116095976,0.032129167136045154,0.498679858359449,0.37578489063510045,0.28283265993485746,0.6506041497095612,-0.01670177861700529,-0.2632943236418705,0.5243118389789497,-0.2522919580792828,-0.029077335623053216,0.20941200359331333,-0.3324325666619582,0.23362134949710578,-0.19823876342718913,0.034476115641778264,0.09070821758190899,0.18328273673915374,-0.22387665088854583,0.1937851637271408,-0.1888513036006836,-0.1679411109470523,0.11451206474557171,-0.05687703398824929,-0.037068154132770925,-0.0769105234444642,0.09957034546930771,0.01882877388200567,0.16142819042012002,-0.21648988566155675,-0.0373906843961529
Thal_MDl_L,-0.1502045742416311,0.25824337812179193,0.2123109506515341,0.17438502911732418,0.0012418316625539732,-0.0659672356007996,-0.3581264343647386,-0.11988896472506713,0.19970304777694065,0.3795676064895634,-0.11508061069257293,0.002592253563263173,0.045605077343367016,0.09267372088784677,-0.09963910842491218,0.014641905465413415,0.039148033778367,0.3477779664753822,1.0,-0.3451912819937038,-0.23804586882627785,0.25922228875208975,0.4424041880202155,0.3730300110827484,0.38693784745013965,0.18315153104344523,-0.24756566695102766,0.2834280033166109,-0.2006745023069555,0.14348302371578414,0.47326217453176256,-0.17589378644689657,0.23730718301204518,0.25230066522776196,0.18221541759945803,-0.2690605618102617,0.06645509153346556,-0.12470476434981743,0.18955250919972716,-0.23842453871568453,0.23082791751004275,0.09793176178280497,-0.14633707148252892,0.06383073517704045,-0.04791596279503912,0.39566248827682116,0.35174845856080117,-0.187997468293505,-0.07776903013649387,0.06788986923455204
Temporal_Pole_Mid_L,0.41772674028449047,-0.6009591491629666,0.3445581055274435,-0.016034847267862643,0.4663817224750974,0.11648897607882225,0.22056368241331642,0.5637152227254237,-0.3060306039119937,-0.16356264713795526,0.3652744791955437,0.191832370776769,0.29332712468145794,0.3833082039206121,0.1393214712164532,0.25282113221283053,0.11340158851834925,0.11473809116095976,-0.3451912819937038,1.0,0.5619629485479971,0.24882720119617474,0.09784263128834647,0.03685430935930765,0.28172628207447553,-0.16228226960505582,0.2487088240776514,0.27971063435659416,0.13101194543920291,-0.0735191127709032,-0.2792143806373453,-0.09813693545489842,0.33024036687869784,-0.5960230677843219,0.013680937112428569,0.6233078278471649,0.5146304332697741,-0.25632446763573424,0.3359183137551318,0.29435660062990343,-0.6031649817079727,0.12265222801968927,0.36328167178273557,0.1463721676234182,-0.04447316431414375,-0.3308818638550608,-0.3880746380879981,0.6431914186993676,0.04552859536480639,0.027604306089611678
