,SN_pc_R,Cerebellum_7b_R,OFClat_L,Paracentral_Lobule_R,Insula_L,Thal_PuI_L,Putamen_R,Vermis_3,Frontal_Sup_Medial_L,Vermis_9,OFCmed_L,Thal_VPL_L,Cingulate_Mid_L,Cerebellum_Crus2_L,Angular_L,Vermis_1_2,Olfactory_L,Occipital_Mid_L,Temporal_Inf_R,Frontal_Inf_Tri_L,OFCant_L,Thal_LP_L,Caudate_R,Cerebellum_Crus1_L,Rectus_R
OFCmed_L,0.16742555115758911,-0.15097615214625865,-0.14452632761368864,0.37008459962376994,0.014740764150941981,0.3253140019883145,0.13157398533740186,0.3531406115498842,0.37253597165140595,0.07506994267196658,1.0,0.43498282486386275,0.4237281482917071,0.11919070562847661,-0.03630081512331021,0.28749813665080426,-0.13664825428413832,-0.009613506818830109,0.22934976624167291,0.02720503017295287,0.22427817616768847,0.39024929916217266,0.10628881770263192,0.11656224370525024,0.7114278995787991
Thal_VPL_L,0.2780754583101203,-0.14174912992338906,-0.03769855584009939,0.7433396166537184,0.4204851567288483,0.7267057317464836,0.4028703825435143,0.6720582929878526,0.7583336157997905,0.36862620966699683,0.43498282486386275,1.0,0.6909552810816353,-0.029809106431211894,0.17280047948787922,0.6317005896367022,0.021891387962978875,0.2090155990675174,0.12927751806150312,0.5313220162739862,0.10375617483903435,0.3398900198304741,0.5884250217628565,0.2726739625910984,0.3728396268824743
Cingulate_Mid_L,0.42522969596439064,-0.13641296323337718,-0.009091933928096435,0.852070119125135,0.24319720403293127,0.6894017836171251,0.19894537382257108,0.7138031101998977,0.7104943954937334,0.30400205791605556,0.4237281482917071,0.6909552810816353,1.0,-0.03940277237171446,0.36528614366147877,0.6641417715327197,-0.07402159071461539,0.42366895369791585,0.2902952443941394,0.45736477838557427,0.06636494453800713,0.5040625600884797,0.5611234998378544,0.22341338831589022,0.3391173059442581
Cerebellum_Crus2_L,0.12416365395361144,0.5888941887426359,-0.11975701146439291,-0.1075581386015627,-0.26390947993740876,-0.2855312552256684,-0.0074019657690245905,-0.17155564883898733,-0.16391103600819046,-0.24246571504944425,0.11919070562847661,-0.029809106431211894,-0.03940277237171446,1.0,-0.21729998469451495,-0.25548803507314655,-0.027084324819447066,-0.38873870997034626,0.014653229642059807,-0.3632327286781163,0.2797643819894213,0.18058599563654054,-0.2918016848033978,-0.23741308906606257,0.15148865494340752
Angular_L,0.10835831294658257,-0.19505587551045944,0.0495945780712652,0.4147061162978762,0.3071051849699549,0.33353077206633236,0.02020562101891148,0.41358003694204937,0.3723431411794516,0.17530145485919912,-0.03630081512331021,0.17280047948787922,0.36528614366147877,-0.21729998469451495,1.0,0.41516314194540754,0.014688878205940356,0.8331026461426116,0.01632887465314315,0.405885216343404,-0.12967049739622696,0.10842029676090201,0.41399867606505825,0.25517145013238857,-0.059152416066000246
Vermis_1_2,0.34604467297052793,-0.16438333996435078,0.1499407429030185,0.7039238332913751,0.1947570060428377,0.6232923829243205,-0.01530279493428201,0.7877711998551572,0.6516942926567426,0.34355505026574334,0.28749813665080426,0.6317005896367022,0.6641417715327197,-0.25548803507314655,0.41516314194540754,1.0,0.011721687715973305,0.5026099810473568,0.4976521925089659,0.4223585571523086,-0.09899383001513769,0.3641572586455251,0.5744916782265422,0.35490939423179124,0.0591468463940658
Olfactory_L,-0.3375352646215854,0.012665989446658983,-0.04705115210018086,-0.034442603770880466,-0.0470279599036989,0.014651650168418838,-0.010147923182683634,0.10015044048243057,-0.1707105619412607,-0.15843455147274207,-0.13664825428413832,0.021891387962978875,-0.07402159071461539,-0.027084324819447066,0.014688878205940356,0.011721687715973305,1.0,0.06858291470298174,0.03250815120191009,-0.037565397116299956,0.17653417910289085,-0.2992687389860891,0.05340964478390269,0.23846040401247742,-0.2412712074081796
Occipital_Mid_L,0.10584914638620874,-0.3593547286732494,0.11108850744646225,0.4458599961332856,0.304631033504142,0.48636188227278837,-0.046196094555750813,0.5663386394645866,0.40341478802933395,0.22352293718049596,-0.009613506818830109,0.2090155990675174,0.42366895369791585,-0.38873870997034626,0.8331026461426116,0.5026099810473568,0.06858291470298174,1.0,0.19693914392826997,0.4832565401162333,-0.10738883338762487,0.14570017943443062,0.4530073304826628,0.33923748890623334,-0.1068785933596369
Temporal_Inf_R,0.15722494896795222,0.10229036846204853,0.11203641750964678,0.23987692173533245,-0.37455539241948865,0.2127244213083226,-0.1922249378318541,0.3770707826448305,0.15838256062468759,-0.0747520923430093,0.22934976624167291,0.12927751806150312,0.2902952443941394,0.014653229642059807,0.01632887465314315,0.4976521925089659,0.03250815120191009,0.19693914392826997,1.0,-0.21563202056103845,0.1264455677104476,0.19571819177737773,-0.005473461097927757,0.21550952648748717,-0.029691439268950136
Frontal_Inf_Tri_L,0.09318855591337447,-0.5125408477429403,0.002032561353702567,0.49744877633803686,0.8779818996014298,0.6145753758407837,0.18566766813893898,0.4597206439707865,0.6572718928615454,0.6141401743094974,0.02720503017295287,0.5313220162739862,0.45736477838557427,-0.3632327286781163,0.405885216343404,0.4223585571523086,-0.037565397116299956,0.4832565401162333,-0.21563202056103845,1.0,-0.14759603515604172,0.23508173374424562,0.6320846041606077,0.20331302022112377,0.19653238677613186
OFCant_L,-0.2755487433973601,-0.22764219518356463,-0.4455295109893866,0.066794483738597,-0.14985686632889,0.153382569170512,-0.03646915164531238,0.14607782560829685,-0.011557502380022691,-0.03596846656623745,0.22427817616768847,0.10375617483903435,0.06636494453800713,0.2797643819894213,-0.12967049739622696,-0.09899383001513769,0.17653417910289085,-0.10738883338762487,0.1264455677104476,-0.14759603515604172,1.0,0.1896302991880847,-0.11278613258742695,0.10284985418601078,0.07854369144258526
Thal_LP_L,0.3836943125797715,-0.1078165985054382,-0.05292644468157791,0.4041324855621634,0.11561126022048508,0.34300455519561596,0.18812798447009008,0.3265770291702171,0.48584369279898093,0.23220423776105775,0.39024929916217266,0.3398900198304741,0.5040625600884797,0.18058599563654054,0.10842029676090201,0.3641572586455251,-0.2992687389860891,0.14570017943443062,0.19571819177737773,0.23508173374424562,0.1896302991880847,1.0,0.4059759064368893,-0.006872486394942942,0.4349945154615916
Caudate_R,0.2672380255051658,-0.26424110010272045,0.15410196415658226,0.577287445632657,0.4768789926506267,0.5343785189163571,0.4647763073168796,0.5480057063461884,0.691713913871936,0.23679614825182313,0.10628881770263192,0.5884250217628565,0.5611234998378544,-0.2918016848033978,0.41399867606505825,0.5744916782265422,0.05340964478390269,0.4530073304826628,-0.005473461097927757,0.6320846041606077,-0.11278613258742695,0.4059759064368893,1.0,0.17433407388211306,0.14649855582024734
Cerebellum_Crus1_L,-0.08006182672570569,-0.17555763455127169,-0.0603632017339069,0.3224325401542635,-0.015861592724742364,0.32472838813549937,-0.14245394955899277,0.3601286825715593,0.12300695352202788,0.18905967135090485,0.11656224370525024,0.2726739625910984,0.22341338831589022,-0.23741308906606257,0.25517145013238857,0.35490939423179124,0.23846040401247742,0.33923748890623334,0.21550952648748717,0.20331302022112377,0.10284985418601078,-0.006872486394942942,0.17433407388211306,1.0,0.08062684385525702
Rectus_R,0.1355962934649517,-0.04516539867925788,-0.26181013824620036,0.33714785006062736,0.21167152549255483,0.25962714416257066,0.3088607279303372,0.04043902657419939,0.44420287533393216,0.34354341026007373,0.7114278995787991,0.3728396268824743,0.3391173059442581,0.15148865494340752,-0.059152416066000246,0.0591468463940658,-0.2412712074081796,-0.1068785933596369,-0.029691439268950136,0.19653238677613186,0.07854369144258526,0.4349945154615916,0.14649855582024734,0.08062684385525702,1.0
